,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
0,2018,3000,MELBOURNE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,646,A232,Non-FV Common assault,10,6460
2,2018,3000,MELBOURNE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,601,A212,Non-FV Serious assault,10,6010
7,2018,3000,MELBOURNE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,75,A732,Non-FV Threatening behaviour,7,525
9,2018,3000,MELBOURNE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,20,A722,Non-FV Harassment and private nuisance,8,160
11,2018,3000,MELBOURNE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,21,A712,Non-FV Stalking,10,210
13,2018,3000,MELBOURNE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,43,A89,Other dangerous or negligent acts endangering people,7,301
14,2018,3000,MELBOURNE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,31,A83,Throw or discharge object endangering people,7,217
16,2018,3000,MELBOURNE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,9,A81,Dangerous driving,7,63
46,2018,3000,MELBOURNE,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,4,D13,Explosives offences,6,24
49,2018,3000,MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,41,D26,Disorderly conduct,5,205
51,2018,3000,MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,50,D24,Offensive language,3,150
52,2018,3000,MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,452,D23,Offensive conduct,5,2260
53,2018,3000,MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,1343,D22,Drunk and disorderly in public,4,5372
54,2018,3000,MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,36,D21,Riot and affray,6,216
55,2018,3000,MELBOURNE,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,5,D36,Other public nuisance offences,7,35
