"Latitude","Longitude","Severity.Total.Score"
-37.689596,145.105088,535
-37.686742,145.105588,535
-37.683643,145.108743,98
-37.682591,145.111331,98
-37.685336,145.117319,535
-37.682753,145.119615,98
-37.73643,145.04445,185
-37.72242,145.04811,985
-37.741638,145.043435,1093
-37.742127,145.048189,1093
-37.746456,145.058616,834
-37.744544,145.062009,834
-37.743721,145.063431,834
-37.743181,145.066575,834
-37.744839,145.067475,834
-37.745094,145.070129,834
-37.742912,145.073276,834
-37.743214,145.075997,834
-37.74211,145.078487,834
-37.743278,145.083568,834
-37.744235,145.088598,834
-37.742262,145.090096,834
-37.740204,145.089902,834
-37.739581,145.090789,834
-37.738024,145.091014,834
-37.736714,145.090671,834
-37.733071,145.091141,52
-37.73242,145.08715,52
-37.729606,145.09222,52
-37.728816,145.096155,185
-37.729119,145.101309,185
-37.728368,145.101745,185
-37.725426,145.104122,185
-37.723613,145.104235,185
-37.7211,145.10388,185
-37.71786,145.104444,185
-37.716864,145.101751,185
-37.715024,145.101526,535
-37.71375,145.10174,535
-37.711867,145.102066,535
-37.806212,144.884835,727
-37.785635,144.8757,727
-37.787155,144.879375,727
-37.788376,144.882364,727
-37.789661,144.885443,727
-37.7921,144.88931,727
-37.79495,144.88874,727
-37.796555,144.8885,727
-37.798444,144.888149,727
-37.79883,144.891256,2258
-37.79948,144.89302,2258
-37.800493,144.895672,2258
-37.783385,144.864948,727
-37.786079,144.864418,727
-37.788974,144.863923,2258
-37.79137,144.863476,2258
-37.793728,144.86298,2258
-37.795864,144.862978,2258
-37.796221,144.866201,2258
-37.796509,144.869371,2258
-37.79689,144.87221,2258
-37.797085,144.874197,727
-37.797391,144.878114,727
-37.797866,144.880823,727
-37.798234,144.884493,727
-37.798612,144.887705,727
-37.798785,144.893129,2258
-37.802782,144.8988,2258
-37.80463,144.902092,2258
-37.805278,144.904628,2258
-37.790153,144.899978,2258
-37.790865,144.89484,2258
-37.7948,144.895429,2258
-37.79687,144.897326,2258
-37.799207,144.899141,2258
-37.802944,144.891225,2258
-37.802678,144.88887,2258
-37.805293,144.88474,727
-37.807725,144.88432,727
-37.810624,144.883861,727
-36.720888,144.682762,585
-36.720818,144.682878,585
-36.599102,144.652965,21
-36.599105,144.653055,21
-36.495308,144.607892,21
-36.495348,144.608118,21
-36.36227,144.698717,89
-36.124085,144.751928,1309
-35.956292,144.368792,7
-35.95598,144.3688,7
-36.028933,144.51657,1309
-36.271742,144.535782,89
-36.271677,144.535817,89
-36.249943,144.94828,89
-36.249807,144.94808,89
-36.397072,144.980858,422
-36.445718,144.982585,25
-36.445953,144.982435,25
-36.585665,145.014727,60
-36.585465,145.014892,60
-36.61687,145.21818,14
-36.368982,144.231968,10
-36.36873,144.23198,10
-36.211573,144.231862,8
-36.211288,144.231943,8
-36.616577,145.217092,14
-36.613045,145.240382,14
-36.785962,145.15368,97
-36.786,145.153043,97
-36.749277,145.568375,157
-36.544817,145.984002,965
-36.411227,145.922757,10
-36.411113,145.922898,10
-36.33107,145.894473,10
-36.330928,145.89459,10
-36.355173,146.317205,1901
-37.059255,142.773551,468
-37.063637,142.763452,468
-36.906665,142.663948,7
-36.906787,142.663288,7
-37.987744,145.314735,123
-37.995963,145.313035,123
-38.000694,145.312074,123
-38.001644,145.311891,123
-38.0021,145.312194,123
-38.00591,145.31665,2568
-38.00904,145.316043,2568
-38.012078,145.314547,2568
-38.015092,145.312178,2568
-38.014269,145.310524,2568
-38.031906,145.309016,343
-38.032461,145.312762,343
-38.033321,145.316419,343
-38.034759,145.319831,343
-38.03752,145.32257,343
-38.039393,145.318883,343
-38.039393,145.313507,343
-38.03869,145.309792,343
-38.038865,145.305425,343
-38.05265,145.30175,2568
-38.058925,145.30045,2568
-38.00952,145.315796,2568
-38.012008,145.314457,2568
-38.01457,145.312505,2568
-38.014086,145.310321,2568
-38.031142,145.304835,343
-38.032059,145.309167,343
-38.03338,145.313625,343
-38.033431,145.316402,343
-38.03487,145.319905,343
-38.037823,145.322347,343
-38.039264,145.318953,343
-38.039248,145.313255,343
-38.038545,145.30967,343
-38.03873,145.305295,343
-38.052853,145.30144,2568
-38.058954,145.30025,2568
-38.062323,145.299603,2568
-38.064785,145.299068,2568
-38.07946,145.296309,3203
-37.724234,144.796303,317
-37.723619,144.799596,925
-37.721165,144.800746,925
-37.719721,144.798494,925
-37.719157,144.795001,841
-37.717801,144.791846,841
-37.715067,144.789727,841
-37.712661,144.789548,841
-37.711725,144.793215,841
-37.709605,144.794026,925
-37.703727,144.784855,925
-37.702045,144.781738,925
-37.693699,144.774672,925
-37.691261,144.77364,925
-37.68716,144.77765,925
-37.68596,144.78046,925
-37.68859,144.7827,925
-37.69038,144.786958,925
-37.692033,144.790195,925
-37.69419,144.79303,925
-37.69556,144.79555,925
-37.69884,144.79722,925
-37.701774,144.800552,925
-37.710939,144.803939,99
-37.71558,144.805566,925
-37.715473,144.807426,925
-37.715532,144.810528,925
-37.718337,144.812134,925
-37.721184,144.812411,925
-37.723966,144.811987,925
-37.726602,144.812396,925
-37.730567,144.815954,925
-37.73317,144.818153,925
