Postcode,Severity Total Score,lat,lon
3000,22498,-37.814563,144.97026699999998
3002,681,-37.81664,144.98781100000002
3003,524,-37.806255,144.941123
3006,3266,-37.823258,144.965926
3008,2058,-37.814719000000004,144.948039
3011,2246,-37.80119933333334,144.88709
3012,729,-37.80019666666667,144.86786
3013,359,-37.8170985,144.88667800000002
3015,496,-37.835258,144.87965499999999
3016,675,-37.8572915,144.89236949999997
3018,398,-37.8686335,144.8369475
3019,531,-37.81958766666667,144.930285
3020,3276,-37.7832585,144.819402
3021,2213,-37.74190125,144.79411075000002
3022,135,-37.76186750000001,144.7994425
3023,1829,-37.758430714285716,144.75436314285713
3024,741,-37.852224666666665,144.59850666666668
3025,510,-37.834611,144.85099566666668
3026,229,-37.841653,144.795959
3027,199,-37.859941,144.760517
3028,970,-37.872065666666664,144.76586733333335
3029,2920,-37.843792666666666,144.71404033333332
3030,3179,-37.887926333333326,144.66258316666668
3031,1642,-37.791354,144.9303445
3032,1172,-37.774776,144.90705049999997
3033,319,-37.736264,144.796336
3034,113,-37.742284000000005,144.81515
3036,99,-37.711868,144.8241975
3037,843,-37.704359249999996,144.76297549999998
3038,909,-37.704800999999996,144.7934035
3039,927,-37.765707,144.919163
3040,579,-37.755155,144.9006456666667
3041,360,-37.73230933333333,144.90886566666666
3042,485,-37.72412633333333,144.875494
3043,693,-37.69382866666667,144.88707033333336
3044,570,-37.733382999999996,144.942422
3045,273,-37.668873,144.833931
3046,1037,-37.709996333333336,144.924679
3047,2614,-37.68147533333333,144.92262633333334
3048,733,-37.6508355,144.926285
3049,130,-37.68057133333334,144.84734866666668
3051,1307,-37.905996,145.056254
3052,1549,-37.7923415,144.954541
3053,1265,-37.781662,144.9861735
3054,280,-37.782666000000006,144.96626949999998
3055,358,-37.75308975,144.94580925
3056,1558,-37.761539,144.955813
3057,372,-37.76491,144.979567
3058,1874,-37.7353602,144.9647904
3059,178,-37.642984000000006,144.88872
3060,607,-37.724679,144.93023266666668
3061,569,-37.643746,144.951369
3062,152,-37.642563,144.94425900000002
3063,14,-37.6097075,144.859325
3064,2345,-37.57360680000001,144.9327308
3065,2291,-37.800917,144.979165
3066,1241,-37.7950855,144.9874725
3067,641,-37.801781,144.998752
3068,757,-37.785759,144.98837749999998
